project_id,project_name,project_description,project_field_of_view,project_method,project_countries,project_protocol,project_global_region,project_organisations,site_id,site_name,site_latitude,site_longitude,site_depth,site_country,site_reef_name,site_exposure,site_reef_type,site_reef_zone,site_code,site_management,site_local_region,site_country_region,survey_id,survey_title,survey_description,survey_start_date (UTC),survey_collection_method,survey_depth,survey_transect_number,image_id,image_name,image_path,image_height,image_width,image_latitude,image_longitude,image_quality,image_disabled,point_id,point_num,point_machine_benthic_id,point_human_benthic_id,point_machine_classification,point_human_classification,point_machine_group_code,point_human_group_code,point_machine_benthic_code,point_human_benthic_code,QC_annotation,point_tags,point_coordinate,point_model_confidence,point_modified_by_displayname,point_modified_by_username,point_modified_by_email,model_data
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43153,Old Harbour East,-18.66946667,-173.9678167,4,Tonga,NA,Very Sheltered,fringing,fore reef,NA,Open,NA,Vavau,55423,Vavau_Old Harbour East_2017_Transect_4,NA,2017-10-29 12:00:00+00:00,Dive,4,4,4158971,(3476).JPG,surveys/tonga-benthic-surveys/55423/9964832b-b02f-4d66-80f7-8fbbf821b242/(3476).JPG,3456,5184,NA,NA,NA,FALSE,177123683,26,3594,NA,ta,,algae,,Turf algae,,,,"2781, 2070",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43080,Lape Bommie,-18.72418333,-174.0850833,4,Tonga,NA,Very Sheltered,fringing,fore reef,NA,SMA_2017,NA,Vavau,73910,Vavau_Lape Bommie_2024_Transect_1,NA,2024-10-27 11:56:00+00:00,Dive,3,1,5104830,PA272547.JPG,surveys/tonga-benthic-surveys/73910/4b11ce8c-e207-4a06-a3c5-2ca5f5e74ee7/PA272547.JPG,3000,4000,NA,NA,NA,FALSE,224411899,27,3594,NA,ta,,algae,,Turf algae,,,,"1903, 880",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43044,Haatafu FHR Town,-21.07089,-175.318779,5,Tonga,NA,Very Sheltered,fringing,fore reef,NA,FHR_2017,NA,Tongatapu,73864,Tongatapu_Haatafu FHR Town_2024_Transect_3,NA,2024-09-27 13:59:00+00:00,Dive,3,3,5103123,P9276202.JPG,surveys/tonga-benthic-surveys/73864/d5a6a6f5-60b2-4908-b922-15c831868b5d/P9276202.JPG,3000,4000,NA,NA,NA,FALSE,224329929,7,3530,NA,rub_loose,,substrate,,Rubble,,,,"1309, 1522",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",42991,Euakafa 3,-18.76053333,-174.0440167,6,Tonga,NA,Semi-exposed,patch,fore reef,NA,Open,NA,Vavau,55220,Vavau_Euakafa 3_2017_Transect_3,NA,2017-10-09 11:30:00+00:00,Dive,6,3,4156771,(2630).JPG,surveys/tonga-benthic-surveys/55220/5bfead53-e910-43aa-9c5e-5d5b1dc31091/(2630).JPG,3000,4000,NA,NA,NA,FALSE,177013715,38,3594,NA,ta,,algae,,Turf algae,,,,"2309, 2298",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43101,Matafonua Bommie,-19.724087,-174.274592,3,Tonga,NA,Sheltered,patch,back reef,NA,SMA_2018,NA,Haapai,73946,Haapai_Matafonua Bommie_2024_Transect_1,NA,2024-11-16 12:50:00+00:00,Dive,2,1,5106212,PB162109.JPG,surveys/tonga-benthic-surveys/73946/c27c5850-9efa-4e0f-b620-76d20d37161b/PB162109.JPG,3000,4000,NA,NA,NA,FALSE,224477693,21,3208,NA,acro_stag,,hard coral,,Acropora,,,,"2532, 2245",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",42997,Euiki FHR 3,-21.126265,-174.98306,7,Tonga,NA,Exposed,fringing,crest,NA,FHR_2008,NA,Tongatapu,55726,Tongatapu_Euiki FHR 3_2018_Transect_1,NA,2018-10-06 11:30:00+00:00,Dive,7,1,4165184,DSCN6913.JPG,surveys/tonga-benthic-surveys/55726/201f6fcc-087b-45ba-9437-9ce2c174a6e1/DSCN6913.JPG,3456,4608,NA,NA,NA,FALSE,177433986,9,3208,NA,acro_dig,,hard coral,,Acropora,,,,"3725, 673",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43004,Fafa control close,-21.081875,-175.153912,3,Tonga,NA,Very Sheltered,fringing,fore reef,NA,Open,NA,Tongatapu,55749,Tongatapu_Fafa control close_2018_Transect_2,NA,2018-10-05 13:00:00+00:00,Dive,3,2,4165561,DSCN6679.JPG,surveys/tonga-benthic-surveys/55749/2ac2ce1d-4a50-4872-86c1-3bcd2ebe3904/DSCN6679.JPG,3456,4608,NA,NA,NA,FALSE,177452864,15,3208,NA,acro_stag,,hard coral,,Acropora,,,,"2305, 895",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43053,HTHH 2,-20.540377,-175.376008,5,Tonga,NA,Exposed,fringing,crest,NA,Open,NA,Haapai,55807,Haapai_HTHH 2_2018_Transect_2,NA,2018-08-26 11:00:00+00:00,Dive,5,2,4170075,DSCN4355.JPG,surveys/tonga-benthic-surveys/55807/96436b2c-e72c-47ae-9ff6-de618e3c5303/DSCN4355.JPG,3456,4608,NA,NA,NA,FALSE,177678692,15,3594,NA,ta,,algae,,Turf algae,,,,"2687, 2090",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43051,Holopeka,-19.781017,-174.347379,3,Tonga,NA,Very Sheltered,fringing,fore reef,NA,Open,NA,Haapai,73870,Haapai_Holopeka_2024_Transect_1,NA,2024-11-11 14:48:00+00:00,Dive,3,1,5103318,PB112180.JPG,surveys/tonga-benthic-surveys/73870/d98b0a3f-4fe7-4a78-864a-106195898428/PB112180.JPG,3000,4000,NA,NA,NA,FALSE,224339598,33,3594,NA,ta,,algae,,Turf algae,,,,"2228, 1609",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43027,FonoiIka 2,-20.109433,-174.705614,6,Tonga,NA,Exposed,patch,fore reef,NA,Open,NA,Haapai,55867,Haapai_FonoiIka 2_2018_Transect_3,NA,2018-08-11 11:30:00+00:00,Dive,6,3,4185213,DSCN1965.JPG,surveys/tonga-benthic-surveys/55867/16b9b366-87f6-4e19-8757-7577b6c8a7b9/DSCN1965.JPG,3456,4608,NA,NA,NA,FALSE,178434268,41,3594,NA,ta,,algae,,Turf algae,,,,"4077, 740",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43243,Uonukuhihifo 3,-19.967095,-174.496117,3,Tonga,NA,Very Sheltered,fringing,fore reef,NA,Open,NA,Haapai,74262,Haapai_Uonukuhihifo 3_2024_Transect_3,NA,2024-10-11 11:02:00+00:00,Dive,3,3,5121936,PA112651.JPG,surveys/tonga-benthic-surveys/74262/632e7d71-5aec-4df8-a463-f14516ab4016/PA112651.JPG,3000,4000,NA,NA,NA,FALSE,225262301,29,3563,NA,sponge_enc,,other  invertebrate,,Porifera (Sponges),,,,"3462, 1520",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43240,Uoleva South,-19.849933,-174.426333,6,Tonga,NA,Sheltered,fringing,fore reef,NA,Open,NA,Haapai,74259,Haapai_Uoleva South_2024_Transect_4,NA,2024-11-15 10:37:00+00:00,Dive,4,4,5121822,PB152160.JPG,surveys/tonga-benthic-surveys/74259/21ad49b5-52c8-45bd-9511-020645eb3c41/PB152160.JPG,3000,4000,NA,NA,NA,FALSE,225256683,11,3594,NA,ta,,algae,,Turf algae,,,,"1525, 632",NA,,,,
